service_id,date,exception_type
1,20220703,1
1,20220710,1
1,20220717,1
1,20220724,1
1,20220731,1
1,20220807,1
1,20220814,1
1,20220821,1
1,20220828,1
2,20220822,1
2,20220823,1
2,20220824,1
2,20220825,1
2,20220826,1
2,20220829,1
2,20220830,1
2,20220831,1
2,20220901,1
2,20220902,1
2,20220905,1
2,20220906,1
2,20220907,1
2,20220908,1
2,20220909,1
2,20220912,1
2,20220913,1
2,20220914,1
2,20220915,1
2,20220916,1
2,20220919,1
2,20220920,1
2,20220921,1
2,20220922,1
2,20220923,1
2,20220926,1
2,20220927,1
2,20220928,1
2,20220929,1
2,20220930,1
2,20221003,1
2,20221004,1
2,20221005,1
2,20221006,1
2,20221007,1
2,20221010,1
2,20221011,1
2,20221012,1
2,20221013,1
2,20221014,1
2,20221017,1
2,20221018,1
2,20221019,1
2,20221020,1
2,20221021,1
2,20221024,1
2,20221025,1
2,20221026,1
2,20221027,1
2,20221028,1
2,20221031,1
2,20221101,1
2,20221102,1
2,20221103,1
2,20221104,1
2,20221107,1
2,20221108,1
2,20221109,1
2,20221110,1
2,20221111,1
2,20221114,1
2,20221115,1
2,20221116,1
2,20221117,1
2,20221118,1
2,20221121,1
2,20221122,1
2,20221123,1
2,20221124,1
2,20221125,1
2,20221128,1
2,20221129,1
2,20221130,1
2,20221201,1
2,20221202,1
2,20221205,1
2,20221206,1
2,20221207,1
2,20221208,1
2,20221209,1
3,20220827,1
3,20220903,1
3,20220910,1
3,20220917,1
3,20220924,1
3,20221001,1
3,20221008,1
3,20221015,1
3,20221022,1
3,20221029,1
3,20221112,1
3,20221119,1
3,20221126,1
3,20221203,1
3,20221210,1
4,20220828,1
4,20220904,1
4,20220911,1
4,20220918,1
4,20220925,1
4,20221002,1
4,20221009,1
4,20221016,1
4,20221023,1
4,20221030,1
4,20221105,1
4,20221106,1
4,20221113,1
4,20221120,1
4,20221127,1
4,20221204,1
5,20220822,1
5,20220823,1
5,20220824,1
